,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
1027,6071001706,6231,San Bernardino,San Bernardino County,San Bernardino,91762,-117.6611549,34.0526197,0.062,12.89,29.59,840.14,2.97,5539.186075,471.94,9,3.75,0.07,0,0.2,69.05,4.64,12.77,31.8,11.8,51.4,9.8,13.5
1028,6107000401,5193,Tulare ,Tulare County,Tulare,93618,-119.3857111,36.5617547,0.065,15.82,7.178,868.53,6032.53,575.8016655,353.48,2.6,28,0.125,0,0,41.53,5.57,9.16,38.7,17.3,62.7,14.8,16.9
1029,6065040503,3876,Riverside ,Riverside County,Riverside,91752,-117.5161423,34.0222888,0.062,14.15,25.02,743.05,0,5247.074313,1104.34,16.9,2,0.725,0,2,29.77,8.99,7.8,23.8,6.4,50,7.5,36.8
1030,6071003102,5466,San Bernardino,San Bernardino County,San Bernardino,92335,-117.4400681,34.0848456,0.065,12.89,35.488,516.07,0,4541.418192,543.02,6.75,0,0.16,0,0,74.3,4.21,13.02,53,34.4,67.2,10.3,23.8
1031,6013311000,5001,Contra Costa,Contra Costa County,Contra Costa,94565,-121.8936219,38.0214503,0.038,7.85958451,18.644,136.89,0,768.2458365,1255.74,14.4,8.5,1,12,1,150.18,6.77,14.45,23.6,7.6,49.6,19.6,27.2
1032,6047001901,5739,Merced ,Merced County,Merced,95340,-120.3392864,37.355853,0.057,12.89,3.525,589.06,128.36,108.7912377,163.77,1,10,0,5,4,147.82,4.06,21.26,54.8,26.8,69,25.6,18.8
1033,6047001700,6335,Merced ,Merced County,Merced,95341,-120.4449003,37.2869017,0.057,12.89,16.001,622.02,5.05,23.58294821,550.39,0,23,0.1,2,0,85.81,5.32,12.95,29.4,9.8,68.6,18,23.9
1034,6075023400,3660,San Francisco,San Francisco County,San Francisco,94124,-122.3900882,37.7215929,0.03,8.69794377,65.555,171.2,0,203.1425692,552.72,22.75,21.75,0.025,11,13.8,135.72,8.02,9.53,36.5,17.4,56.4,14.9,23.2
1035,6065041408,4017,Riverside ,Riverside County,Riverside,92505,-117.4691482,33.9042171,0.062,12.89,26.669,960.39,0,3536.06157,1878.33,9.5,11,0.1,0,0,45.69,7.47,9.04,18.3,4.7,47.7,9.1,21.1
1036,6059011602,5237,Orange ,Orange County,Orange,92831,-117.9022903,33.8615748,0.046,11.21,27.719,555.67,0,13775.17363,3338.69,114,107.75,11.41,0,20,40.95,4.81,7.43,33.3,15.7,48.7,8.8,17.3
